ensembl_gene_id	gene_symbol	gene_type
ENSG00000198888	MT-ND1	mitochondrial
ENSG00000198763	MT-ND2	mitochondrial
ENSG00000198804	MT-CO1	mitochondrial
ENSG00000198712	MT-CO2	mitochondrial
ENSG00000228253	MT-ATP8	mitochondrial
ENSG00000198899	MT-ATP6	mitochondrial
ENSG00000198938	MT-CO3	mitochondrial
ENSG00000198840	MT-ND3	mitochondrial
ENSG00000212907	MT-ND4L	mitochondrial
ENSG00000198886	MT-ND4	mitochondrial
ENSG00000198786	MT-ND5	mitochondrial
ENSG00000198695	MT-ND6	mitochondrial
ENSG00000198727	MT-CYB	mitochondrial
ENSG00000117154	IGSF21	immunoglobulin
ENSG00000230035	IGSF21-AS1	immunoglobulin
ENSG00000143061	IGSF3	immunoglobulin
ENSG00000276674	IGKV1OR1-1	immunoglobulin
ENSG00000085552	IGSF9	immunoglobulin
ENSG00000162729	IGSF8	immunoglobulin
ENSG00000163395	IGFN1	immunoglobulin
ENSG00000233999	IGKV3OR2-268	immunoglobulin
ENSG00000211592	IGKC	immunoglobulin
ENSG00000211593	IGKJ5	immunoglobulin
ENSG00000211594	IGKJ4	immunoglobulin
ENSG00000211595	IGKJ3	immunoglobulin
ENSG00000211596	IGKJ2	immunoglobulin
ENSG00000211597	IGKJ1	immunoglobulin
ENSG00000211598	IGKV4-1	immunoglobulin
ENSG00000211599	IGKV5-2	immunoglobulin
ENSG00000197794	IGKV7-3	immunoglobulin
ENSG00000253435	IGKV2-4	immunoglobulin
ENSG00000243466	IGKV1-5	immunoglobulin
ENSG00000239855	IGKV1-6	immunoglobulin
ENSG00000243063	IGKV3-7	immunoglobulin
ENSG00000240671	IGKV1-8	immunoglobulin
ENSG00000241755	IGKV1-9	immunoglobulin
ENSG00000253278	IGKV2-10	immunoglobulin
ENSG00000241351	IGKV3-11	immunoglobulin
ENSG00000243290	IGKV1-12	immunoglobulin
ENSG00000253497	IGKV1-13	immunoglobulin
ENSG00000253265	IGKV2-14	immunoglobulin
ENSG00000244437	IGKV3-15	immunoglobulin
ENSG00000240864	IGKV1-16	immunoglobulin
ENSG00000240382	IGKV1-17	immunoglobulin
ENSG00000254157	IGKV2-18	immunoglobulin
ENSG00000253732	IGKV2-19	immunoglobulin
ENSG00000239951	IGKV3-20	immunoglobulin
ENSG00000211611	IGKV6-21	immunoglobulin
ENSG00000253578	IGKV1-22	immunoglobulin
ENSG00000253625	IGKV2-23	immunoglobulin
ENSG00000241294	IGKV2-24	immunoglobulin
ENSG00000253202	IGKV3-25	immunoglobulin
ENSG00000254098	IGKV2-26	immunoglobulin
ENSG00000244575	IGKV1-27	immunoglobulin
ENSG00000244116	IGKV2-28	immunoglobulin
ENSG00000253998	IGKV2-29	immunoglobulin
ENSG00000243238	IGKV2-30	immunoglobulin
ENSG00000253158	IGKV3-31	immunoglobulin
ENSG00000253870	IGKV1-32	immunoglobulin
ENSG00000242076	IGKV1-33	immunoglobulin
ENSG00000253860	IGKV3-34	immunoglobulin
ENSG00000253461	IGKV1-35	immunoglobulin
ENSG00000253487	IGKV2-36	immunoglobulin
ENSG00000239862	IGKV1-37	immunoglobulin
ENSG00000253592	IGKV2-38	immunoglobulin
ENSG00000242371	IGKV1-39	immunoglobulin
ENSG00000273962	IGKV2-40	immunoglobulin
ENSG00000251039	IGKV2D-40	immunoglobulin
ENSG00000251546	IGKV1D-39	immunoglobulin
ENSG00000254009	IGKV2D-38	immunoglobulin
ENSG00000250036	IGKV1D-37	immunoglobulin
ENSG00000253127	IGKV2D-36	immunoglobulin
ENSG00000232747	IGKV1D-35	immunoglobulin
ENSG00000253501	IGKV3D-34	immunoglobulin
ENSG00000239975	IGKV1D-33	immunoglobulin
ENSG00000253191	IGKV1D-32	immunoglobulin
ENSG00000253999	IGKV3D-31	immunoglobulin
ENSG00000239571	IGKV2D-30	immunoglobulin
ENSG00000243264	IGKV2D-29	immunoglobulin
